Név|Konzol|Műfaj|Kiadó|Fejlesztő|Kritikusi pontszám|Összes eladás|Kiadás éve
MLB SlugFest 20-04|XB|Sport|Midway Games|Criterion Games|7.3|0.09|2003
Backyard Sports: Sandlot Sluggers|X360|Sport|Atari|Atari Games|7.3|0.09|2010
FIFA 2001: Major League Soccer|PS2|Sport|EA Sports|EA Canada|7.3|0.09|2000
ESPN NBA 2Night|PS2|Sport|Konami|Konami Computer Entertainment Osaka|7.3|0.09|2001
Ribbit King|PS2|Sport|Bandai|Bandai|7.3|0.09|2004
Winning Post 6|PS2|Sport|KOEI|Koei/Inis|7.3|0.09|2003
Field & Stream: Total Outdoorsman Challenge|X360|Sport|505 Games|Beast Studios S.r.l.|7.3|0.09|2010
Cabela's Big Game Hunter|GBA|Sport|10TACLE Studios|ImageBuilder Software|7.3|0.09|2002
World Championship Games: A Track & Field Event|DS|Sport|Game Factory|Code Monkeys|7.3|0.09|2009
Yourself Fitness|XB|Sport|responDESIGN|responDESIGN, Inc.|7.3|0.09|2004
NHL 2K8|PS3|Sport|2K Sports|Kush Games|7.3|0.09|2007
Big League Sports: Summer|Wii|Sport|Activision|Koolhaus Games|7.3|0.09|2009
Championship Foosball|Wii|Sport|505 Games|Del|7.3|0.09|2008
NFL Blitz 20-02|GC|Sport|Midway Games|Point of View|7.3|0.09|2002
Jikkyou Powerful Pro Yakyuu Portable 2|PSP|Sport|Konami|PawaPuro Productions|7.3|0.09|2007
Rugby 2005|PS2|Sport|EA Sports|HB Studios Multimedia|7.3|0.09|2005
Pro Evolution Soccer 2012|PC|Sport|Konami|Konami|7.0|0.09|2011
Jikkyou Powerful Pro Yakyuu 2000 Ketteiban|PS|Sport|Konami|Diamond Head|7.3|0.09|2000
Pro Evolution Soccer 2018|PS3|Sport|Konami Digital Entertainment|Konami Digital Entertainment|7.3|0.09|2017
Remington Super Slam Hunting: Alaska|Wii|Sport|Mastiff|Mastiff|7.3|0.09|2011
Transworld Snowboarding|XB|Sport|Atari|Housemarque|7.3|0.09|2002
Major League Baseball 2K9|PSP|Sport|2K Sports|Visual Concepts|6.0|0.09|2009
World Soccer Winning Eleven 8 International|XB|Sport|Konami|Konami Computer Entertainment Tokyo|7.3|0.09|2005
Ski and Shoot|Wii|Sport|Conspiracy Entertainment|49Games|7.3|0.09|2008
Pro Yakyuu Spirits 2014|PSP|Sport|Konami Digital Entertainment|Konami|7.3|0.09|2014
Jikkyou Powerful Pro Yakyuu 9 Ketteiban|PS2|Sport|Konami|Diamond Head|7.3|0.09|2002
Rugby 15|XOne|Sport|Maximum Games|HB Studios|7.3|0.09|2015
Derby Stallion|SAT|Sport|ASCII Entertainment|ParityBit|7.3|0.09|1999
NBA 2K18|PS3|Sport|2K Sports|Visual Concepts|7.0|0.09|2017
FIFA Street 3|DS|Sport|EA Sports BIG|EA Canada|7.3|0.09|2008
Captain Tsubasa: Aratanaru Densetsu Joshou|PS|Sport|Konami|Konami|7.3|0.09|2002
The Incredibles: Rise of the Underminer|XB|Akció|THQ|Heavy Iron Studios|6.5|0.09|2005
Captain America: Super Soldier|3DS|Akció|Sega|Sega|5.0|0.09|2011
Destroy All Humans! Path of the Furon|PS3|Akció|Unknown|Sandblast Games|5.0|0.09|2020
Romance of the Three Kingdoms XII|PS3|Stratégia|Tecmo Koei|Tecmo Koei Games|7.3|0.09|2012
Yu-Gi-Oh! GX: The Beginning of Destiny (US sales)|PS2|Stratégia|Konami|Konami|7.3|0.09|2008
Grand Ages: Medieval|PS4|Stratégia|Kalypso Media|Gaming Minds Studios|7.3|0.09|2015
Return Fire|PS|Stratégia|Time Warner Interactive|Silent Software Inc.|7.3|0.09|1996
Hearts of Iron III|PC|Stratégia|Paradox Interactive|Paradox Interactive|7.9|0.09|2009
Astro Boy|PS2|Akció|Sega|Sonic Team|7.3|0.09|2004
Def Jam Fight For NY: The Takeover|PSP|Akció|Electronic Arts|Aki Corp|8.0|0.09|2006
Ghosthunter|PS2|Akció|Namco|SCEE Cambridge|7.3|0.09|2004
Charlotte's Web|DS|Akció|Sega|Backbone Entertainment|7.3|0.09|2006
Killer7|PS2|Akció|Capcom|Grasshopper Manufacture|6.5|0.09|2005
50 Cent: Bulletproof|PSP|Akció|Vivendi Games|High Voltage Software|5.5|0.09|2006
Dragon's Dogma Online|PS4|Szerepjáték|Capcom|Capcom|7.3|0.09|2015
Shining Resonance Refrain|NS|Szerepjáték|Sega|Media.Vision|7.3|0.09|2018
Wizardry: Tale of the Forsaken Land|PS2|Szerepjáték|Atlus|Racjin|7.3|0.09|2001
Lost Heroes|3DS|Szerepjáték|Namco Bandai Games|Banpresto|7.3|0.09|2012
Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs the Soulless Army|PS2|Szerepjáték|Atlus|Atlus Co.|7.4|0.09|2006
Rapid Reload|PS|Lövöldözős|Sony Computer Entertainment|Media.Vision|7.3|0.09|1995
Gradius V|PS2|Lövöldözős|Konami|Treasure Co., Ltd.|7.3|0.09|2004
Red Faction: Guerrilla Re-Mars-tered|PS4|Lövöldözős|THQ Nordic|Volition|7.3|0.09|2018
Raiden Fighters Aces|X360|Lövöldözős|Valcon Games|Gulti|7.3|0.09|2009
Total Overdose: A Gunslinger's Tale in Mexico|PS2|Lövöldözős|Eidos Interactive|Deadline Games|7.3|0.09|2005
Metal Slug X|PS|Lövöldözős|Agetec|ProSoft|7.3|0.09|2001
Top Gun: Firestorm Advance|GBA|Lövöldözős|Titus|Titus Software|7.3|0.09|2002
NERF N-Strike: Double Blast Bundle|Wii|Lövöldözős|Electronic Arts|EA Salt Lake|7.3|0.09|2010
Robotron 64|N64|Lövöldözős|Crave Entertainment|Player 1|7.3|0.09|1998
Quantum Theory|X360|Lövöldözős|Tecmo Koei|Team Tachyon|7.3|0.09|2010
Savage Skies|PS2|Lövöldözős|BAM! Entertainment|iRock Interactive|7.3|0.09|2002
Detana TwinBee Yahho! Deluxe Pack|PS|Lövöldözős|Konami|Konami|7.3|0.09|1995
Damnation|PS3|Lövöldözős|Codemasters|Blue Omega Entertainment|3.6|0.09|2009
Borderlands 2 VR|PS4|Lövöldözős|2K Games|Gearbox Software|7.3|0.09|2018
Defender|XB|Lövöldözős|Midway Games|7 Studios|7.3|0.09|2002
Sniper Elite|XB|Lövöldözős|Namco|Rebellion Developments|7.3|0.09|2005
Duke Nukem 3D: 20th Anniversary World Tour|PS4|Lövöldözős|Gearbox Software|Gearbox Software|7.3|0.09|2016
Lethal Enforcers|SNES|Lövöldözős|Konami|Konami|7.3|0.09|1994
Strange Brigade|PS4|Lövöldözős|Rebellion Developments|Rebellion Developments|7.3|0.09|2018
Crysis: Maximum Edition|PC|Lövöldözős|Electronic Arts|Crytek|7.3|0.09|2009
Invasion From Beyond|PS|Lövöldözős|GT Interactive|King of the Jungle|7.3|0.09|1998
ShellShock 2: Blood Trails|X360|Lövöldözős|Eidos Interactive|Rebellion Developments|3.2|0.09|2009
XIII|GC|Lövöldözős|Ubisoft|Ubisoft Paris|7.3|0.09|2003
F.E.A.R. Files|X360|Lövöldözős|Sierra Entertainment|TimeGate Studios/Day 1 Studios|6.9|0.09|2007
Codename Tenka|PS|Lövöldözős|Sony Computer Entertainment|Psygnosis|7.0|0.09|1997
Shin Megami Tensei|PS|Szerepjáték|Atlus|Atlus Co.|7.3|0.09|2001
Romance of the Three Kingdoms X|PS2|Stratégia|KOEI|Koei|7.3|0.09|2005
Brigandine: The Legend of Forsena|PS|Stratégia|Atlus|Hearty Robin|7.3|0.09|1998
Tom Clancy's EndWar|DS|Stratégia|Ubisoft|Funatics Software|7.3|0.09|2008
Castlevania: Lords of Shadow 2|X360|Akció-kaland|Konami Digital Entertainment|Mercury Steam|7.3|0.09|2014
Invizimals: The Alliance|PSV|Akció-kaland|Sony Computer Entertainment|Novarama|7.3|0.09|2014
The Amazing Spider-Man (2012)|WiiU|Akció-kaland|Activision|Beenox|6.0|0.09|2013
Lock's Quest|DS|Stratégia|THQ|5TH Cell|7.3|0.09|2008
Populous DS|DS|Stratégia|Xseed Games|Genki|7.3|0.09|2008
Langrisser V: The End of Legend|SAT|Stratégia|NCS|Career Soft|7.3|0.09|1998
Populous: The Beginning|PS|Stratégia|Electronic Arts|Bullfrog Productions|7.3|0.09|1999
Dungeons|PC|Stratégia|Kalypso|Kalypso Media|6.5|0.09|2011
Supreme Commander|X360|Stratégia|Aspyr|Gas Powered Games|5.7|0.09|2008
R-Type Command|PSP|Stratégia|Atlus|Irem Software Engineering|7.3|0.09|2008
Black & White 2|PC|Stratégia|Electronic Arts|Lionhead Studios|7.3|0.09|2005
Theme Hospital|PS|Stratégia|Electronic Arts|Krisalis Software|7.2|0.09|1998
MetropolisMania|PS2|Stratégia|Natsume|Indi Software|6.8|0.09|2002
Cardfight!! Vanguard: Ride to Victory!!|3DS|Stratégia|FuRyu Corporation|FuRyu|7.3|0.09|2013
InuYasha: Secret of the Divine Jewel|DS|Szerepjáték|Namco Bandai|Art|7.3|0.09|2007
The Technomancer|PS4|Szerepjáték|Focus Home Interactive|Spiders|7.3|0.09|2016
Summon Night 6: Lost Borders|PSV|Szerepjáték|Gaijinworks|Media.Vision|7.3|0.09|2017
Chou Jigen Game Neptune Mk-II|PS3|Szerepjáték|Compile Heart|Compile Heart|7.3|0.09|2011
We Happy Few|XOne|Akció-kaland|Gearbox Software|Compulsion Games|7.3|0.09|2018
Glory Days 2|DS|Stratégia|Secret Stash Games|Odenis Studio|7.3|0.09|2007
Nobunaga's Ambition: Iron Triangle|PS2|Stratégia|KOEI|Koei|7.3|0.09|2009
Wild ARMs: Alter Code F|PS2|Szerepjáték|Agetec|Media.Vision|7.2|0.09|2005
Mimana Iyar Chronicle|PSP|Szerepjáték|Aksys Games|Kogado Studio, Inc.|7.3|0.09|2010
Fighting Fantasy: The Warlock of Firetop Mountain|DS|Szerepjáték|Aspyr|Big Blue Bubble|7.3|0.09|2009
Riviera: The Promised Land|PSP|Szerepjáték|Atlus|Sting|7.3|0.09|2007
Skies of Arcadia|DC|Szerepjáték|Sega|Overworks|9.2|0.09|2000
Blood of Bahamut|DS|Szerepjáték|Square Enix|Square Enix|7.3|0.09|2009
Lilie no Atelier: Salburg no Renkinjutsushi 3|PS2|Szerepjáték|Gust|Gust|7.3|0.09|2001
Dark Souls Trilogy|PS4|Szerepjáték|Bandai Namco Entertainment|From Software|7.3|0.09|2018
Last Rebellion|PS3|Szerepjáték|NIS America|Hit Maker|4.8|0.09|2010
Spectral Force Genesis|DS|Szerepjáték|Ignition Entertainment|Neverland Company|7.3|0.09|2010
Fullmetal Alchemist: Dual Sympathy|DS|Szerepjáték|Destineer|Bandai|7.3|0.09|2006
Naruto RPG 3: Rejiuu vs Konoha Shoutai|DS|Szerepjáték|Takara Tomy|Takara Tomy|7.3|0.09|2006
Beyblade Burst|3DS|Szerepjáték|FuRyu Corporation|FuRyu|7.3|0.09|2016
New Class of Heroes Mono: Toki no Gakuen|PSP|Szerepjáték|Acquire|ZeroDiv|7.3|0.09|2012
Saiyuuki: Kinkaku, Ginkaku no Inbou|DS|Szerepjáték|D3 Publisher|D3 Publisher|7.3|0.09|2007
Justice League Heroes|DS|Szerepjáték|Warner Bros. Interactive|Sensory Sweep|7.3|0.09|2006
Soul Nomad & the World Eaters (JP sales)|PS2|Szerepjáték|NIS America|Nippon Ichi Software|7.3|0.09|2007
Dragon Quest Heroes I & II for Nintendo Switch|NS|Szerepjáték|Square Enix|Omega Force|7.3|0.09|2017
Summon Night 6: Lost Borders|PS4|Szerepjáték|Gaijinworks|Media.Vision|7.3|0.09|2017
Dark Angel: Vampire Apocalypse|PS2|Szerepjáték|Metro 3D|Metro3D|4.6|0.09|2001
Dark Rose Valkyrie|PS4|Szerepjáték|Idea Factory International|Compile Heart|7.3|0.09|2017
Atelier Totori: The Adventurer of Arland|PSV|Szerepjáték|Gust|Gust|7.3|0.09|2012
Knights in the Nightmare|PSP|Szerepjáték|Atlus|Sting|8.0|0.09|2010
Kurikin: Nano Island Story|DS|Szerepjáték|Nintendo|Media Kite|7.3|0.09|2007
Ys I & II Chronicles|PSP|Szerepjáték|Xseed Games|Nihon Falcom Corporation|6.4|0.09|2011
Exist Archive: The Other Side of the Sky|PSV|Szerepjáték|Aksys Games|tri-Ace|7.3|0.09|2016
Spectral Force 3|X360|Szerepjáték|Atlus|XPEC Entertainment|5.9|0.09|2008
Digimon World Re:Digitize Decode|3DS|Szerepjáték|Namco Bandai Games|Tri-Crescendo|7.3|0.09|2013
Digimon World 4|GC|Szerepjáték|Bandai|Bandai|5.2|0.09|2005
Grand Kingdom|PSV|Szerepjáték|NIS America|Monochrome Corporation|7.3|0.09|2016
Nights of Azure|PS4|Szerepjáték|Tecmo Koei|Gust|7.3|0.09|2016
Nobunaga's Ambition: Sphere of Influence - Ascension|PS4|Stratégia|Tecmo Koei|Koei Tecmo Games|7.3|0.09|2016
Neo Atlas|PS|Stratégia|ArtDink|Flip Flop Production|7.3|0.09|1998
Terranigma|SNES|Szerepjáték|Nintendo|Quintet|7.3|0.09|1996
Arcania: Gothic 4|X360|Szerepjáték|JoWood Productions|Spellbound Entertainment AG|6.2|0.09|2010
Forever Kingdom|PS2|Szerepjáték|Agetec|From Software|7.3|0.09|2002
Shining Tears|PS2|Szerepjáték|Sega|Amusement Vision|7.3|0.09|2005
Inazuma Eleven 3: Lighting Bolt / Bomb Blast|3DS|Szerepjáték|Nintendo|Level 5|7.3|0.09|2013
SD Gundam G Generation DS|DS|Szerepjáték|Bandai|Vanguard|7.3|0.09|2005
Brain Voyage|DS|Logikai|Eidos Interactive|Razorback Developments|7.3|0.09|2008
Super Robot Taisen MX Portable|PSP|Stratégia|Banpresto|Banpresto|7.3|0.09|2005
Zoids Assault|X360|Stratégia|Atlus|Atlus Co.|5.2|0.09|2008
Star Wars: Empire at War - Gold Pack|PC|Stratégia|LucasArts|Petroglyph Games|7.3|0.09|2007
Henry Hatsworth in the Puzzling Adventure|DS|Logikai|Electronic Arts|EA Tiburon|9.1|0.09|2009
Sloane to MacHale no Nazo no Monogatari 2|DS|Logikai|Level 5|Level 5|7.3|0.09|2009
Chess|PS|Stratégia|Agetec|Success|7.3|0.09|2001
X-COM: UFO Defense|PS|Stratégia|Microprose|MicroProse|7.3|0.09|1995
Wordmaster|DS|Stratégia|Destination Software, Inc|Unknown|7.3|0.09|2008
The Legend of Heroes: A Tear of Vermillion|PSP|Szerepjáték|Bandai|Microvision|6.9|0.09|2005
Jenga World Tour|DS|Egyéb|Atari|Atomic Planet Entertainment|7.3|0.09|2007
Atari Classics Evolved|PSP|Egyéb|Atari|Stainless Games|7.3|0.09|2007
Monopoly Collection|Wii|Egyéb|Electronic Arts|Electronic Arts|7.3|0.09|2011
Virtua Fighter CG Portrait Series Vol.3: Akira Yuki|SAT|Egyéb|Sega|Sega-AM2|7.3|0.09|1995
Sega Casino|DS|Egyéb|Sega|TOSE|7.3|0.09|2005
Scrabble|PSP|Egyéb|Electronic Arts|Stainless Games|7.3|0.09|2009
Truth or Lies|PS3|Egyéb|THQ|Big Ant Studios|7.3|0.09|2010
Alvin and the Chipmunks: Chipwrecked|Wii|Egyéb|Majesco|Behaviour Interactive|7.3|0.09|2011
Yaiba: Ninja Gaiden Z|PS3|Egyéb|Tecmo Koei|Unknown|7.3|0.09|2014
Momu-chan Diet Wii: Figurobics by Chon Dayon|Wii|Egyéb|Hudson Soft|IE Institute|7.3|0.09|2010
Playboy: The Mansion|XB|Szimuláció|ARUSH Entertainment|Cyberlore Studios|7.3|0.09|2005
Everyday House Tamagotchi|3DS|Szimuláció|Namco Bandai Games|Bandai Namco Games|7.3|0.09|2012
Harvest Moon: Skytree Village|3DS|Szimuláció|Natsume|Natsume|5.0|0.09|2016
Animal Planet: Vet Life|Wii|Szimuláció|Activision|Activision|7.3|0.09|2009
Cake Mania: Main Street|DS|Szimuláció|Majesco|Sandlot Games|7.3|0.09|2011
Sidewinder Max|PS2|Szimuláció|Asmik Ace Entertainment|Asmik Ace Entertainment|7.3|0.09|2000
Petz: Saddle Club|PSP|Szimuláció|Ubisoft|Digital Kids|7.3|0.09|2009
Jambo! Safari Animal Rescue|Wii|Szimuláció|Sega|Full Fat|7.3|0.09|2009
BIT.TRIP COMPLETE|Wii|Egyéb|Aksys Games|Gaijin Games Inc.|8.1|0.09|2011
The Weakest Link|PS|Egyéb|Activision|Traveller's Tales|7.3|0.09|2001
Game Hits!|DS|Egyéb|Destineer|Foreign Media Games|7.3|0.09|2010
Roary the Racing Car|DS|Egyéb|Avanquest|Uacari|7.3|0.09|2009
The Bachelor: The Videogame|DS|Egyéb|Warner Bros. Interactive|Warner Bros. Interactive Entertainment|7.3|0.09|2010
Yoostar on MTV|X360|Egyéb|Unknown|Yoostar Entertainment Group|7.3|0.09|2011
Aikatsu! My No.1 Stage!|3DS|Egyéb|Bandai Namco Games|Bandai Namco Games|7.3|0.09|2015
Karaoke Revolution|XB|Egyéb|Konami|Secret Level|7.3|0.09|2004
My Stop Smoking Coach: Allen Carr's EasyWay|DS|Egyéb|Ubisoft|Ubisoft Quebec|7.3|0.09|2008
Puss in Boots|PS3|Egyéb|THQ|THQ|7.3|0.09|2011
Karaoke Joysound Wii DX|Wii|Egyéb|Hudson Soft|Xing Inc.|7.3|0.09|2009
Unou no Tatsujin: Soukai! Machigai Museum 2|DS|Egyéb|Namco Bandai|Bandai Namco Games|7.3|0.09|2007
SingStar Guitar|PS3|Egyéb|Sony Computer Entertainment|SCEE London Studio|7.3|0.09|2010
Family Party: 30 Great Games|Wii|Egyéb|D3 Publisher|Tamsoft Corporation|7.3|0.09|2008
Konami Classics Vol. 1|X360|Egyéb|Konami|Konami|7.3|0.08|2009
SingStar Apres-Ski Party 2|PS3|Egyéb|Sony Computer Entertainment|SCEE London Studio|7.3|0.08|2010
Bleach: Heat the Soul 4|PSP|Harcolós|Sony Computer Entertainment|Eighting|7.3|0.08|2007
BlazBlue: Cross Tag Battle|PS4|Harcolós|Arc System Works|Arc System Works|7.3|0.08|2018
BlazBlue: Chrono Phantasma Extend|XOne|Harcolós|Arc System Works|Arc System Works|7.3|0.08|2015
Guilty Gear XX Slash|PS2|Harcolós|Sammy Corporation|Arc System Works|7.3|0.08|2006
Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!|DS|Harcolós|Takara Tomy|Takara Tomy|7.3|0.08|2007
Supremacy MMA|X360|Harcolós|505 Games|Kung Fu Factory|5.0|0.08|2011
Kamen Rider: Super Climax Heroes|Wii|Harcolós|Namco Bandai Games|Eighting|7.3|0.08|2012
The King of Fighters 2006|PS2|Harcolós|SNK Playmore|SNK Playmore Corporation|7.3|0.08|2006
Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen|GBA|Kaland|Nintendo|Pax Softonica|7.3|0.08|2004
Princess Isabella: A Witch's Curse|DS|Kaland|GSP|Gogii Games|7.3|0.08|2010
Super Robot Wars OG: The Moon Dwellers|PS3|Egyéb|Namco Bandai Games|Unknown|7.3|0.08|2016
Motto! Stitch! DS Rhythm de Rakugaki Daisakusen|DS|Egyéb|Disney Interactive Studios|Cattle Call|7.3|0.08|2010
Grease Dance|PS3|Egyéb|505 Games|505 Games|7.3|0.08|2011
My Friends|DS|Egyéb|O-Games|Oxygen Games|7.3|0.08|2009
Storybook Workshop|Wii|Egyéb|Konami|Konami|7.3|0.08|2009
Yuu Yuu Hakusho: Makyo Toitsusen|GEN|Harcolós|Sega|Treasure Co., Ltd.|7.3|0.08|1994
Sentimental Graffiti 2|DC|Kaland|NEC Interchannel|NEC Interchannel|7.3|0.08|2000
Harvey Birdman: Attorney at Law|Wii|Kaland|Capcom|High Voltage Software|7.3|0.08|2008
Martian Panic|Wii|Kaland|Zoo Games|Norbert Palacz|7.3|0.08|2010
Adventure Time: The Secret of the Nameless Kingdom|3DS|Kaland|Little Orbit|WayForward Technologies|7.3|0.08|2014
The Hidden|3DS|Kaland|Majesco|1st Playable Productions|7.3|0.08|2011
The Spiderwick Chronicles|DS|Kaland|Sierra Entertainment|Stormfront Studios|7.3|0.08|2008
Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei|DS|Kaland|Namco Bandai|Bandai Namco Games|7.3|0.08|2009
The Sexy Brutale|PS4|Kaland|Badland Games|Tequila Works|7.3|0.08|2017
Samurai Shodown III|NG|Harcolós|SNK|SNK Corporation|7.3|0.08|1995
The King of Fighters EX2: Howling Blood|GBA|Harcolós|Atlus|Marvelous Interactive|7.9|0.08|2003
The King of Fighters '98: Dream Match Never Ends|PS|Harcolós|SNK|SNK Corporation|7.3|0.08|1999
Gundam Seed: Battle Assault|GBA|Harcolós|Bandai|Bandai|6.5|0.08|2004
Mortal Kombat Kollection|PS2|Harcolós|Midway Games|Midway|7.3|0.08|2008
Zatch Bell! Mamodo Battles|PS2|Harcolós|Bandai|Eighting|7.3|0.08|2005
Naruto Shippuden: Shinobi Rumble!!|DS|Harcolós|Takara Tomy|Takara Tomy|7.3|0.08|2011
Minecraft: Story Mode - Season Two|X360|Kaland|Telltale Games|Telltale Games|7.3|0.08|2017
Armorines: Project S.W.A.R.M.|PS|Lövöldözős|Acclaim Entertainment|Probe Entertainment|3.2|0.08|2000
RTX Red Rock|PS2|Lövöldözős|LucasArts|LucasArts|7.3|0.08|2003
Metal Slug Advance|GBA|Lövöldözős|SNK|Noise Factory|7.3|0.08|2004
Far Cry Vengeance|Wii|Lövöldözős|Ubisoft|Ubisoft Montreal|7.3|0.08|2006
Sega Ages: After Burner II|SAT|Lövöldözős|Sega|Sega|7.3|0.08|1996
PAC-MAN and the Ghostly Adventures|X360|Platformer|Namco Bandai Games|Monkey Bar Games|7.3|0.08|2013
Nano Assault|3DS|Lövöldözős|Majesco|Shin'en Multimedia|6.0|0.08|2011
Earth Defense Force 4.1: The Shadow of New Despair|PS4|Lövöldözős|Xseed Games|Sandlot|7.3|0.08|2015
Aliens versus Predator: Extinction|XB|Stratégia|Electronic Arts|Zono Incorporated|7.3|0.08|2003
Star Wars: Empire at War|PC|Stratégia|LucasArts|Petroglyph Games|7.3|0.08|2006
RollerCoaster Tycoon 3: Platinum|PC|Stratégia|Atari|Frontier Developments|7.3|0.08|2006
Tears to Tiara: Kakan no Daichi|PS3|Stratégia|Aquaplus|Aquaplus|7.3|0.08|2008
ARK: Survival Evolved|NS|Akció-kaland|Studio Wildcard|Studio Wildcard|4.0|0.08|2018
How to Train Your Dragon 2|WiiU|Akció-kaland|Little Orbit|Torus Games|7.3|0.08|2014
Darksiders II: Deathinitive Edition|XOne|Akció-kaland|Nordic Games|Gunfire Games|7.5|0.08|2015
Disney Infinity 2.0: Marvel Super Heroes|PSV|Akció-kaland|Disney Interactive Studios|Avalanche Software|7.3|0.08|2015
Carol Vorderman's Sudoku|PSP|Logikai|Eidos Interactive|Empire Interactive|7.4|0.08|2007
Warhammer 40,000: Dawn of War II - Retribution|PC|Stratégia|THQ|Relic Entertainment|7.9|0.08|2011
Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars|GBA|Stratégia|Nintendo|Bandai|7.3|0.08|2004
Goblin Commander: Unleash the Horde|XB|Stratégia|Jaleco|Jaleco Entertainment|7.3|0.08|2003
Evolution Worlds|GC|Szerepjáték|Ubisoft|Sting|6.5|0.08|2002
A-Train|PS|Stratégia|Maxis|ArtDink|6.0|0.08|1996
Onimusha Tactics|GBA|Stratégia|Capcom|Capcom|7.3|0.08|2003
Nobunaga's Ambition: Rise to Power|PS2|Stratégia|KOEI|Koei|7.3|0.08|2008
7 Wonders of the Ancient World|PSP|Logikai|Mumbo Jumbo|Hot Lava Games|5.4|0.08|2007
Wordfish|DS|Logikai|Ubisoft|Ubisoft|7.3|0.08|2008
Soul Bubbles|DS|Logikai|Eidos Interactive|Mekensleep|7.0|0.08|2008
Smart Bomb|PSP|Logikai|Eidos Interactive|Core Design Ltd.|7.3|0.08|2005
Bomberman Jetters|GC|Logikai|Majesco|Hudson Soft|7.2|0.08|2004
Me & My Katamari (JP sales)|PSP|Logikai|Namco|Namco|7.3|0.08|2006
Puzzler Mind Gym 3D|3DS|Logikai|Ubisoft|Ubisoft|7.3|0.08|2011
SafeCracker: The Ultimate Puzzle Adventure|Wii|Logikai|The Adventure Company|Kheops Studio|7.3|0.08|2008
Duke Nukem: Land of the Babes|PS|Lövöldözős|Atari|n-Space|7.3|0.08|2000
TimeSplitters: Future Perfect|GC|Lövöldözős|Electronic Arts|Free Radical Design|8.4|0.08|2005
America's Army: True Soldiers|X360|Lövöldözős|Ubisoft|Red Storm Entertainment|4.5|0.08|2007
Dragon Slayer: Eiyuu Densetsu|GEN|Szerepjáték|Sega|Sega Falcom|7.3|0.08|1994
Slayers Royal|PS|Szerepjáték|Kadokawa Shoten|ESP Software|7.3|0.08|1998
Shining Resonance Refrain|PS4|Szerepjáték|Sega|Media.Vision|7.3|0.08|2018
Final Fantasy VI|PS|Szerepjáték|SquareSoft|TOSE Software|7.3|0.08|1999
The Legend of Alon D'ar|PS2|Szerepjáték|Ubisoft|Stormfront Studios|7.3|0.08|2001
Earth Defense Force 2017|X360|Lövöldözős|D3 Publisher|Sandlot|7.4|0.08|2007
Real Robots Final Attack|PS|Lövöldözős|Banpresto|Banpresto|7.3|0.08|1998
ShellShock 2: Blood Trails|PS3|Lövöldözős|Eidos Interactive|Rebellion Developments|7.3|0.08|2009
Robotron X|PS|Lövöldözős|Midway Games|Player 1|7.3|0.08|1996
Bulletstorm: Full Clip Edition|XOne|Lövöldözős|Gearbox Software|People Can Fly|7.3|0.08|2017
State of Emergency 2|PS2|Lövöldözős|SouthPeak Interactive|DC Studios|7.3|0.08|2006
GoldenEye 007|DS|Lövöldözős|Activision|n-Space|5.5|0.08|2010
Knife Edge: NoseGunner|N64|Lövöldözős|Kemco|Kemco|7.3|0.08|1998
Ultimate Shooting Collection|Wii|Lövöldözős|UFO Interactive|MileStone Inc.|7.3|0.08|2009
Infernal: Hell's Vengeance|X360|Lövöldözős|Playlogic Game Factory|Metropolis Software|4.4|0.08|2009
Vietcong: Purple Haze|XB|Lövöldözős|Gathering of Developers|Coyote Developments|7.3|0.08|2004
Gradius III and IV|PS2|Lövöldözős|Konami|Konami Computer Entertainment Tokyo|7.3|0.08|2000
Famicom Mini: Star Soldier|GBA|Lövöldözős|Nintendo|Hudson Soft|7.3|0.08|2004
From Russia With Love|PSP|Lövöldözős|Electronic Arts|Rebellion Developments|7.3|0.08|2006
Tempest 3X|PS|Lövöldözős|Interplay|High Voltage Software|7.3|0.08|1996
Hidden Invasion|PS2|Lövöldözős|Conspiracy Entertainment|Toka|7.3|0.08|2002
Gradius Galaxies|GBA|Lövöldözős|Konami|Mobile 21|7.8|0.08|2001
Conflict: Desert Storm|GC|Lövöldözős|Gotham Games|Pivotal Games|6.3|0.08|2003
Far Cry Instincts Evolution|XB|Lövöldözős|Ubisoft|Ubisoft Montreal|7.3|0.08|2006
Medal of Honor: Underground|GBA|Lövöldözős|Destination Software, Inc|Rebellion Developments|7.3|0.08|2002
P.N.03 - Product Number Three|GC|Lövöldözős|Capcom|Capcom Production Studio 4|6.3|0.08|2003
Homefront: The Revolution|PC|Lövöldözős|Deep Silver|Dambuster Studios|7.3|0.08|2016
Endgame|PS2|Lövöldözős|Empire Interactive|Cunning Developments|7.3|0.08|2002
Bangai-O Spirits|DS|Lövöldözős|D3 Publisher|Treasure Co., Ltd.|8.4|0.08|2008
Warhammer: Battle For Atluma|PSP|Akció|Namco Bandai|JV Games|7.3|0.08|2006
Superman: Shadow of Apokolips|GC|Akció|Atari|Infogrames|7.3|0.08|2003
Sengoku Musou 3: Moushouden|Wii|Akció|Tecmo Koei|Omega Force|7.3|0.08|2011
